HRR,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months",senior_ratio,population_density,hospital_utilization
"South Bend, IN",551.0,912.0,70.0,109.0,539539.0,108077.0,107908.0,22556.0,4871.0,1504.0,273.0,165.0,118.0,752.0,136.0,82.0,59.0,490.0,89.0,54.0,38.0,325.0,464.0,298.0,220.0,162.0,231.0,149.0,109.0,106.0,151.0,97.0,72.0,0.200313601055716,423.8326787117047,0.5671641791044777
"Spartanburg, SC",280.0,545.0,65.0,95.0,300991.0,64361.0,60198.0,12660.0,2754.0,844.0,301.0,155.0,104.0,422.0,151.0,77.0,52.0,275.0,98.0,50.0,34.0,184.0,283.0,194.0,147.0,92.0,142.0,97.0,74.0,60.0,92.0,63.0,48.0,0.2138303138632052,372.053152039555,0.65389369592089
"Spokane, WA",1657.0,2655.0,134.0,245.0,1210559.0,251604.0,242112.0,50782.0,11011.0,3385.0,204.0,127.0,93.0,1693.0,102.0,64.0,46.0,1104.0,67.0,42.0,30.0,734.0,548.0,300.0,207.0,367.0,274.0,150.0,103.0,239.0,178.0,98.0,67.0,0.2078411708970814,331.47836801752464,0.546276013143483
"Springdale, AR",616.0,880.0,73.0,104.0,437572.0,77638.0,87514.0,18103.0,3860.0,1207.0,196.0,137.0,106.0,603.0,98.0,69.0,53.0,394.0,64.0,45.0,34.0,257.0,352.0,247.0,190.0,129.0,177.0,124.0,96.0,84.0,115.0,81.0,62.0,0.1774290859561398,382.493006993007,0.4615384615384615
"Springfield, IL",1172.0,1799.0,79.0,146.0,637463.0,146057.0,127493.0,26999.0,5921.0,1800.0,154.0,100.0,74.0,900.0,77.0,50.0,37.0,587.0,50.0,33.0,24.0,395.0,500.0,271.0,185.0,197.0,249.0,135.0,92.0,129.0,163.0,88.0,61.0,0.2291223176874579,262.76298433635617,0.5169002473206925
"Springfield, MA",500.0,1044.0,73.0,134.0,600306.0,123079.0,120061.0,25150.0,5445.0,1677.0,335.0,161.0,106.0,838.0,168.0,80.0,53.0,547.0,109.0,52.0,34.0,363.0,497.0,271.0,186.0,182.0,249.0,136.0,93.0,118.0,162.0,88.0,61.0,0.2050271028442161,378.0264483627204,0.6851385390428212
"Springfield, MO",819.0,1449.0,67.0,147.0,688462.0,166812.0,137692.0,29331.0,6476.0,1955.0,239.0,135.0,94.0,978.0,119.0,67.0,47.0,638.0,78.0,44.0,31.0,432.0,645.0,294.0,191.0,216.0,322.0,147.0,96.0,141.0,210.0,96.0,62.0,0.2422965973430632,331.3099133782483,0.6058710298363812
"St. Cloud, MN",227.0,563.0,16.0,31.0,203089.0,38678.0,40618.0,8452.0,1815.0,563.0,248.0,100.0,63.0,282.0,124.0,50.0,31.0,184.0,81.0,33.0,20.0,121.0,756.0,390.0,269.0,60.0,375.0,194.0,133.0,39.0,244.0,126.0,87.0,0.1904485225689229,226.15701559020044,0.7472160356347439
"St. Joseph, MI",238.0,316.0,9.0,14.0,110235.0,26066.0,22047.0,4684.0,1031.0,312.0,131.0,99.0,79.0,156.0,66.0,49.0,40.0,102.0,43.0,32.0,26.0,69.0,767.0,493.0,345.0,34.0,378.0,243.0,170.0,22.0,244.0,157.0,110.0,0.236458475075974,280.4961832061069,0.3944020356234097
"St. Louis, MO",4326.0,7257.0,547.0,864.0,2666497.0,532142.0,533299.0,111438.0,24055.0,7429.0,172.0,102.0,73.0,3715.0,86.0,51.0,36.0,2423.0,56.0,33.0,24.0,1604.0,293.0,186.0,136.0,802.0,147.0,93.0,68.0,523.0,96.0,61.0,44.0,0.1995659473834022,261.7548836752724,0.5753411210366153
"St. Paul, MN",582.0,1093.0,48.0,116.0,856536.0,148362.0,171307.0,35367.0,7523.0,2358.0,405.0,216.0,147.0,1179.0,203.0,108.0,74.0,769.0,132.0,70.0,48.0,502.0,1046.0,433.0,274.0,251.0,523.0,216.0,137.0,164.0,342.0,141.0,90.0,0.1732116338367564,534.0,0.6371571072319202
"St. Petersburg, FL",613.0,1018.0,33.0,86.0,354891.0,90670.0,70978.0,15209.0,3381.0,1014.0,165.0,100.0,71.0,507.0,83.0,50.0,36.0,331.0,54.0,33.0,23.0,225.0,682.0,262.0,162.0,113.0,342.0,131.0,81.0,74.0,224.0,86.0,53.0,0.2554868959765111,249.2212078651685,0.5695224719101124
"Stockton, CA",329.0,623.0,41.0,81.0,464979.0,77159.0,92996.0,19135.0,4054.0,1276.0,388.0,205.0,139.0,638.0,194.0,102.0,69.0,416.0,126.0,67.0,45.0,270.0,659.0,333.0,223.0,135.0,329.0,167.0,112.0,88.0,215.0,109.0,73.0,0.1659408274352175,506.5130718954248,0.6416122004357299
"Sun City, AZ",364.0,604.0,81.0,100.0,237503.0,104547.0,47501.0,11012.0,2658.0,734.0,202.0,122.0,87.0,367.0,101.0,61.0,43.0,239.0,66.0,40.0,28.0,177.0,219.0,177.0,149.0,89.0,110.0,89.0,75.0,58.0,72.0,58.0,49.0,0.4401923344126179,281.06863905325446,0.5692307692307692
"Syracuse, NY",950.0,2006.0,77.0,160.0,832908.0,165881.0,166582.0,34802.0,7511.0,2320.0,244.0,116.0,76.0,1160.0,122.0,58.0,38.0,757.0,80.0,38.0,25.0,501.0,651.0,313.0,206.0,250.0,325.0,156.0,103.0,163.0,212.0,102.0,67.0,0.1991588506773857,272.0143696930111,0.6897452645329849
"Tacoma, WA",366.0,877.0,62.0,129.0,642251.0,109410.0,128450.0,26484.0,5624.0,1766.0,483.0,201.0,127.0,883.0,241.0,101.0,64.0,576.0,157.0,66.0,41.0,375.0,605.0,291.0,190.0,187.0,302.0,145.0,95.0,122.0,197.0,95.0,62.0,0.1703539581876867,462.71685878962535,0.7363112391930835
"Takoma Park, MD",294.0,738.0,48.0,99.0,789639.0,122832.0,157928.0,32340.0,6810.0,2156.0,733.0,292.0,183.0,1078.0,367.0,146.0,91.0,703.0,239.0,95.0,60.0,454.0,946.0,459.0,303.0,227.0,473.0,229.0,151.0,148.0,308.0,149.0,99.0,0.1555546268611352,668.618966977138,0.7510584250635055
"Tallahassee, FL",603.0,1423.0,50.0,122.0,668985.0,118753.0,133797.0,27678.0,5902.0,1845.0,306.0,130.0,82.0,923.0,153.0,65.0,41.0,602.0,100.0,42.0,27.0,393.0,786.0,322.0,204.0,197.0,394.0,161.0,102.0,128.0,256.0,105.0,66.0,0.17751220131991,298.38760035682424,0.7310437109723461
"Tampa, FL",1289.0,2647.0,165.0,340.0,1170264.0,218181.0,234053.0,48616.0,10418.0,3241.0,251.0,122.0,81.0,1621.0,126.0,61.0,40.0,1057.0,82.0,40.0,26.0,695.0,421.0,204.0,135.0,347.0,210.0,102.0,67.0,226.0,137.0,66.0,44.0,0.1864374192489899,292.2007490636704,0.6781523096129838
"Temple, TX",390.0,688.0,50.0,106.0,409683.0,59971.0,81937.0,16707.0,3499.0,1114.0,286.0,162.0,113.0,557.0,143.0,81.0,57.0,363.0,93.0,53.0,37.0,233.0,466.0,220.0,144.0,117.0,234.0,110.0,72.0,76.0,152.0,72.0,47.0,0.1463839114632533,415.9218274111675,0.6040609137055837
"Terre Haute, IN",207.0,337.0,37.0,50.0,140148.0,28559.0,28030.0,5868.0,1270.0,391.0,189.0,116.0,84.0,196.0,95.0,58.0,42.0,128.0,62.0,38.0,27.0,85.0,230.0,170.0,133.0,42.0,114.0,84.0,66.0,28.0,76.0,56.0,44.0,0.2037774352827011,299.46153846153845,0.5576923076923077
"Texarkana, AR",383.0,519.0,62.0,76.0,198305.0,43677.0,39661.0,8365.0,1826.0,558.0,146.0,108.0,85.0,279.0,73.0,54.0,43.0,182.0,48.0,35.0,28.0,122.0,197.0,161.0,136.0,61.0,98.0,80.0,68.0,40.0,65.0,53.0,44.0,0.2202516325861677,302.2942073170732,0.4161585365853658
"Toledo, OH",1122.0,1900.0,179.0,317.0,767671.0,155817.0,153534.0,32132.0,6949.0,2142.0,191.0,113.0,80.0,1071.0,95.0,56.0,40.0,699.0,62.0,37.0,26.0,463.0,259.0,146.0,102.0,232.0,130.0,73.0,51.0,151.0,84.0,48.0,33.0,0.2029736697100711,286.55132512131394,0.5811870100783875
"Topeka, KS",594.0,949.0,49.0,80.0,352693.0,68579.0,70539.0,14705.0,3165.0,980.0,165.0,103.0,75.0,490.0,82.0,52.0,38.0,320.0,54.0,34.0,25.0,211.0,431.0,264.0,188.0,106.0,216.0,133.0,95.0,69.0,141.0,86.0,62.0,0.1944438931308531,270.4700920245399,0.544478527607362
"Traverse City, MI",293.0,525.0,7.0,17.0,189619.0,52436.0,37924.0,8202.0,1842.0,547.0,187.0,104.0,72.0,273.0,93.0,52.0,36.0,178.0,61.0,34.0,24.0,123.0,1757.0,724.0,473.0,61.0,871.0,359.0,235.0,40.0,571.0,235.0,154.0,0.27653346974723,250.81878306878303,0.6124338624338624
"Tucson, AZ",1184.0,1930.0,161.0,248.0,971119.0,232066.0,194224.0,41312.0,9106.0,2754.0,233.0,143.0,103.0,1377.0,116.0,71.0,51.0,898.0,76.0,47.0,34.0,607.0,377.0,245.0,181.0,304.0,189.0,123.0,91.0,198.0,123.0,80.0,59.0,0.2389676239472196,362.7639148300336,0.5577138587971611
"Tulsa, OK",1783.0,2984.0,159.0,323.0,1070712.0,213442.0,214142.0,44742.0,9657.0,2983.0,167.0,100.0,71.0,1491.0,84.0,50.0,36.0,973.0,55.0,33.0,23.0,644.0,405.0,199.0,133.0,322.0,203.0,100.0,66.0,210.0,132.0,65.0,43.0,0.1993458558417202,255.84516129032255,0.5739545997610513
"Tupelo, MS",818.0,1226.0,61.0,83.0,308796.0,61185.0,61759.0,12897.0,2782.0,860.0,105.0,70.0,53.0,430.0,53.0,35.0,26.0,280.0,34.0,23.0,17.0,185.0,303.0,223.0,178.0,93.0,152.0,112.0,89.0,60.0,98.0,72.0,58.0,0.1981405199549216,188.9816401468788,0.4993880048959608
"Tuscaloosa, AL",297.0,681.0,37.0,90.0,215194.0,37920.0,43039.0,8898.0,1896.0,593.0,200.0,87.0,56.0,297.0,100.0,44.0,28.0,193.0,65.0,28.0,18.0,126.0,341.0,140.0,88.0,63.0,170.0,70.0,44.0,41.0,111.0,46.0,29.0,0.1762130914430699,201.87054409005628,0.7213883677298312
"Tyler, TX",527.0,932.0,127.0,176.0,437181.0,98736.0,87436.0,18489.0,4048.0,1233.0,234.0,132.0,92.0,616.0,117.0,66.0,46.0,402.0,76.0,43.0,30.0,270.0,213.0,153.0,121.0,135.0,106.0,77.0,60.0,88.0,69.0,50.0,39.0,0.2258469604122777,326.7421524663677,0.6061285500747384
"Urbana, IL",480.0,764.0,54.0,77.0,361763.0,69031.0,72353.0,15059.0,3235.0,1004.0,209.0,131.0,96.0,502.0,105.0,66.0,48.0,327.0,68.0,43.0,31.0,216.0,400.0,281.0,218.0,108.0,200.0,140.0,109.0,70.0,130.0,91.0,71.0,0.1908182981675848,345.52340019102195,0.5415472779369628
"Ventura, CA",278.0,682.0,94.0,128.0,669683.0,124579.0,133937.0,27815.0,5959.0,1854.0,667.0,272.0,171.0,927.0,333.0,136.0,85.0,605.0,218.0,89.0,56.0,397.0,422.0,310.0,244.0,199.0,212.0,155.0,122.0,130.0,138.0,102.0,80.0,0.1860268216454651,616.0837166513339,0.7442502299908004
"Victoria, TX",352.0,463.0,18.0,32.0,115052.0,25536.0,23010.0,4857.0,1061.0,324.0,92.0,70.0,56.0,162.0,46.0,35.0,28.0,106.0,30.0,23.0,18.0,71.0,394.0,222.0,154.0,35.0,194.0,109.0,76.0,23.0,128.0,72.0,50.0,0.22195181309321,200.4390243902439,0.3867595818815331
"Waco, TX",261.0,490.0,24.0,42.0,264389.0,54218.0,52878.0,11077.0,2398.0,738.0,283.0,151.0,103.0,369.0,141.0,75.0,51.0,241.0,92.0,49.0,33.0,160.0,667.0,381.0,267.0,80.0,333.0,190.0,133.0,52.0,217.0,124.0,87.0,0.205069045989054,367.2069444444445,0.6375
"Washington, DC",1595.0,3325.0,218.0,409.0,2179021.0,378878.0,435804.0,90001.0,19152.0,6000.0,376.0,180.0,119.0,3000.0,188.0,90.0,59.0,1957.0,123.0,59.0,39.0,1277.0,586.0,312.0,212.0,638.0,293.0,156.0,106.0,416.0,191.0,102.0,69.0,0.1738753320872079,431.06251236399606,0.6844708209693373
"Waterloo, IA",340.0,504.0,19.0,28.0,167837.0,36303.0,33567.0,7067.0,1539.0,471.0,139.0,93.0,71.0,236.0,69.0,47.0,35.0,154.0,45.0,31.0,23.0,103.0,542.0,368.0,286.0,51.0,268.0,182.0,142.0,33.0,174.0,118.0,92.0,0.2162991473870481,251.25299401197609,0.4910179640718562
"Wausau, WI",152.0,278.0,45.0,59.0,150679.0,36287.0,30136.0,6415.0,1415.0,428.0,282.0,154.0,106.0,214.0,141.0,77.0,53.0,139.0,91.0,50.0,34.0,94.0,209.0,159.0,131.0,47.0,104.0,80.0,65.0,31.0,69.0,53.0,43.0,0.2408232069498735,373.893300248139,0.6228287841191067
"White Plains, NY",597.0,1785.0,137.0,190.0,896882.0,178478.0,179376.0,37473.0,8086.0,2498.0,418.0,140.0,84.0,1249.0,209.0,70.0,42.0,815.0,137.0,46.0,27.0,539.0,393.0,284.0,222.0,270.0,197.0,142.0,111.0,176.0,128.0,93.0,72.0,0.198998307469656,301.67574840228724,0.7991927346115035
"Wichita Falls, TX",298.0,407.0,8.0,16.0,154615.0,31786.0,30923.0,6479.0,1403.0,432.0,145.0,106.0,84.0,216.0,72.0,53.0,42.0,141.0,47.0,35.0,27.0,94.0,1175.0,588.0,392.0,47.0,588.0,294.0,196.0,30.0,375.0,188.0,125.0,0.2055816059243928,299.6414728682171,0.4224806201550387
"Wichita, KS",2225.0,3407.0,202.0,322.0,951715.0,198669.0,190343.0,39940.0,8664.0,2663.0,120.0,78.0,58.0,1331.0,60.0,39.0,29.0,868.0,39.0,25.0,19.0,578.0,286.0,180.0,131.0,289.0,143.0,90.0,65.0,188.0,93.0,58.0,43.0,0.2087484173308186,207.34531590413943,0.5152505446623094
"Wilkes-Barre, PA",263.0,457.0,24.0,63.0,198135.0,47118.0,39627.0,8424.0,1856.0,562.0,214.0,123.0,86.0,281.0,107.0,61.0,43.0,183.0,70.0,40.0,28.0,124.0,517.0,197.0,122.0,62.0,258.0,98.0,61.0,40.0,167.0,63.0,39.0,0.2378075554546142,304.35483870967744,0.5960061443932412
"Wilmington, DE",601.0,1223.0,62.0,149.0,637120.0,120121.0,127424.0,26493.0,5684.0,1766.0,294.0,144.0,96.0,883.0,147.0,72.0,48.0,576.0,96.0,47.0,31.0,379.0,611.0,254.0,160.0,189.0,305.0,127.0,80.0,124.0,200.0,83.0,52.0,0.1885374811652436,345.32249322493226,0.6742547425474255
"Wilmington, NC",251.0,628.0,17.0,54.0,385088.0,91585.0,77018.0,16374.0,3607.0,1092.0,435.0,174.0,109.0,546.0,218.0,87.0,54.0,356.0,142.0,57.0,35.0,240.0,1412.0,444.0,267.0,120.0,706.0,222.0,133.0,78.0,459.0,144.0,87.0,0.2378287560245969,383.1721393034826,0.7502487562189055
"Winchester, VA",357.0,704.0,22.0,53.0,350240.0,74330.0,70048.0,14721.0,3200.0,981.0,275.0,139.0,93.0,491.0,138.0,70.0,47.0,320.0,90.0,45.0,30.0,213.0,968.0,402.0,254.0,107.0,486.0,202.0,127.0,70.0,318.0,132.0,83.0,0.212225902238465,333.244529019981,0.6603235014272122
"Winston-Salem, NC",843.0,1857.0,40.0,269.0,899862.0,197294.0,179972.0,37943.0,8278.0,2530.0,300.0,136.0,88.0,1265.0,150.0,68.0,44.0,825.0,98.0,44.0,29.0,552.0,1380.0,205.0,111.0,276.0,690.0,103.0,55.0,180.0,450.0,67.0,36.0,0.2192491737621991,313.5407665505227,0.7062717770034843
"Worcester, MA",425.0,975.0,43.0,106.0,652386.0,122123.0,130477.0,27111.0,5812.0,1807.0,425.0,185.0,118.0,904.0,213.0,93.0,59.0,589.0,139.0,60.0,39.0,387.0,900.0,365.0,229.0,194.0,451.0,183.0,115.0,126.0,293.0,119.0,75.0,0.187194391050697,427.7940983606557,0.7213114754098361
"Yakima, WA",200.0,285.0,33.0,45.0,220972.0,40707.0,44194.0,9170.0,1963.0,611.0,306.0,214.0,166.0,306.0,153.0,107.0,83.0,199.0,100.0,70.0,54.0,131.0,397.0,291.0,226.0,65.0,197.0,144.0,112.0,43.0,130.0,96.0,74.0,0.184217909961443,598.840108401084,0.4579945799457995
"York, PA",267.0,567.0,8.0,43.0,343334.0,73773.0,68667.0,14448.0,3145.0,963.0,361.0,170.0,111.0,482.0,181.0,85.0,56.0,314.0,118.0,55.0,36.0,210.0,2625.0,488.0,266.0,105.0,1313.0,244.0,133.0,68.0,850.0,158.0,86.0,0.2148723983060227,395.5460829493088,0.6923963133640554
"Youngstown, OH",543.0,1049.0,66.0,112.0,493628.0,124167.0,98726.0,21117.0,4685.0,1408.0,259.0,134.0,91.0,704.0,130.0,67.0,45.0,459.0,85.0,44.0,30.0,312.0,473.0,279.0,197.0,156.0,236.0,139.0,99.0,102.0,155.0,91.0,65.0,0.2515396209291207,317.4456591639872,0.6508038585209004
